companyUrl,companyName,country,category,notes
https://www.linkedin.com/company/lemlist/,Lemlist,France,Sales automation,
https://www.linkedin.com/company/la-growth-machine/,La Growth Machine,France,Multichannel outreach,
https://www.linkedin.com/company/waalaxy/,Waalaxy,France,LinkedIn automation,
https://www.linkedin.com/company/captain-data/,Captain Data,France,Web scraping & automation,
https://www.linkedin.com/company/kaspr/,Kaspr,France,LinkedIn data enrichment,
https://www.linkedin.com/company/dropcontact/,Dropcontact,France,Email enrichment,
https://www.linkedin.com/company/evaboot/,Evaboot,France,LinkedIn export,
https://www.linkedin.com/company/emelia-io/,Emelia,France,Cold email,
https://www.linkedin.com/company/make-hq/,Make (ex-Integromat),France,Workflow automation,
https://www.linkedin.com/company/plezi/,Plezi,France,Marketing automation,
https://www.linkedin.com/company/clay-hq/,Clay,USA (FR team),Data enrichment & automation,
https://www.linkedin.com/company/unipile/,Unipile,France,Messaging API,
https://www.linkedin.com/company/datananas/,Datananas,France,Sales automation,
https://www.linkedin.com/company/surfe/,Surfe,France,CRM enrichment,
https://www.linkedin.com/company/snitcher-io/,Snitcher,France,Website visitor identification,
https://www.linkedin.com/company/rowshq/,Rows,Portugal,Spreadsheet automation,
https://www.linkedin.com/company/talkdesk/,Talkdesk,Portugal,CX automation,
https://www.linkedin.com/company/feedzai/,Feedzai,Portugal,Risk automation,
https://www.linkedin.com/company/infraspeak/,Infraspeak,Portugal,Facility management SaaS,
https://www.linkedin.com/company/coverflex/,Coverflex,Portugal,HR & benefits automation,
https://www.linkedin.com/company/typeform/,Typeform,Spain,Form & data collection,
https://www.linkedin.com/company/factorialhr/,Factorial,Spain,HR automation,
https://www.linkedin.com/company/holded/,Holded,Spain,Business automation,
https://www.linkedin.com/company/kenjo-app/,Kenjo,Spain,HR SaaS,
https://www.linkedin.com/company/pipefy/,Pipefy,Spain/LATAM,Process automation,
https://www.linkedin.com/company/pandadoc/,PandaDoc,Spain team,Document automation,
https://www.linkedin.com/company/babelforce/,Babelforce,Spain,Contact centre automation,
https://www.linkedin.com/company/workato/,Workato,USA (ES team),Enterprise automation,
